"id","name","code","public_name","number","type","text","created_at","updated_at","video"
"11","Solar","SO","Effervescent","2","Style","You are a vibrant and delightful person with an optimistic view of reality. You are also extremely kind and considerate. This genuine, accepting character allows for an inviting presence that makes you very approachable in business and in life. When performing or connecting with others you maintain a comfortable ease that makes your presentation believable and entertaining. This disposition is a natural expression of your nature. It is only one aspect of you but is responsible for moments of playfulness and creativity. You cultivate many interests and tend to access brilliance through innocence. You also process information at lightning speed from an active and positive perspective. Your tendency is to address what is working first in an environment or situation. This positive approach coupled with your radiance allows you to simply light up a room!","2024-06-26 00:00:00","2024-06-26 00:00:00","The Effervescent Trait.mp4"
"12","Solar","SO","Effervescent","1","Style","This part of you displays a playful disposition accompanied by a charming and delightful quality. You are approachable, timeless, effervescent and a natural performer. Center stage becomes you. This trait is something that you can access easily and call on for making friendly connections with others. Life is your audience and you are here to uplift the spirits of others. You are ""HOPE"" springs eternal. It simply makes you a pleasure to be around. You process information at lightning speed extracting what is working while overlooking dysfunction. This permits you the ability to instantaneously disseminate information into a digestible and friendly solution. This is great for making conversation and developing healthy relationships. Fragility accompanies this part of your nature. Your desire to trust often supercedes an obvious threat. Take special care in picking people, places and opportunities wisely.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Effervescent Trait.mp4"
"13","Emotional","EM","Emotionally","1","Energy Center","This Center loves the taste of life as it relates to emotion and is greatly moved by it. It is best fed by positive relationships and the dynamics that they have to offer. There is a great need to feel, touch and be within close proximity to living things. Having people, plants and animals around often make your environment stimulating and opens your heart to discussions, learning and experiences. Emotionally centered people require friendships and often eat when relationships are not going well. Networking and social engagements keep you feeling aligned. Emotionally centered people like yourself, tend to take things to heart. It is often more difficult for you to detach from pre-existing relationships. You may find yourself easily drawn the problems of others.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Emotional Energy Center.mp4"
"14","Mars","MA","Energetic","1","Style","Integrity becomes you. You are a crusader by nature. Truth and Justice serve as the impetus for many of your actions. This part of you is where physical energy resides. Depending on the size or significance of this aspect, your desire to fix situations and circumstances will prevail accordingly. Typically, your physicality is always on a mission and wanting to ""save the day"". You naturally know that the shortest distance between two points is a straight line and you attack the challenges of life head on. Your goal is to get the job done without interruption. This quick to respond nature often leaps before it looks and speaks before it thinks. Because this trait is honorable with high standards, it will push for those standards if the need arises. ","2024-06-26 00:00:00","2024-06-26 00:00:00","The Energetic Trait.mp4"
"15","Mars","MA","Energetic","2","Style","This part of you is filled with integrity and believes strongly in truth and justice. You are extremely enthusiastic, passionate and honorable with high standards and will push for those standards if the need arises. This is the most energetic aspect of your physicality. When a task presents itself to you, your goal is to get the job done without interruption. You thrive on taking action and will take the shortest distance between A and B. This active part of your style is also negative in nature which means that you are driven to fix what is not working in a situation and forge on to correct things. It gives you the ability to eliminate threats.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Energetic Trait.mp4"
"16",,,"Energy Above Excellent","1",,"Your energy pool exceeds the usual standard and has much to offer you and your environment in terms of engagement and stamina. This level of efficiency is usually a sign of personal care and conscious living, however it is not impervious to toxicity. A large toxic energy pool can reek a lot of havoc and do a significant amount of damage, where a clear field largely contributes to the whole and the betterment of mankind. In an effort to maintain the integrity of your own self-preservation, take time to clear your mind and soothe the physical nature of who you are. Pick your friends and colleagues wisely. Your choices in this lifetime will produce successful outcomes when properly initiated.","2024-06-26 00:00:00","2024-06-26 00:00:00","Energy Pool - Above Excellent.mp4"
"17",,,"Energy Above Norms","1",,"Your energy pool at this point in time is over pronounced. Often times we can begin to spin out of control in our attempts to meet the challenges of life. When your energy reaches an ABOVE THE NORM assessment, there is concern for not only your total health and well being but also those around you. Staying in a hypertrophied state too long feels like a tornado coming through with you being the tornado. We often refer to this as BIG ENERGY. This eventually puts strain on your nervous system and can result in mental exhaustion which can lead to toxicity. Take time everyday to do something that is less demanding and more pleasurable. Make shorter lists. Take up quiet time, listening to music, going to the movies, spending time in nature, singing, journaling and personal pampering. It is vital that you incorporate one or more healthy activities into your daily routine so as to begin to resume a more manageable presentation of yourself.","2024-06-26 00:00:00","2024-06-26 00:00:00",NULL
"18",,,"Energy Average","1",,"Your energy pool is satisfactory and responds naturally to the ebb and flow of life. Realizing that life can get difficult at times impresses upon us the need to stock up. With an average life source available, you may want to consider choosing three days a week where you invest some of your time specifically on self-renewal so as not to fall prey to unwarranted intrusion. Often times, being broad-sided unexpectedly can throw us into a state of deficit. Know that you have enough energy to present well but having a little extra in the bank is not to be taken lightly. We live in a toxic world and you will encounter challenges in this life. We suggest you be prepared for all kinds of opportunities that require vital energy.","2024-06-26 00:00:00","2024-06-26 00:00:00","Energy Pool - Average.mp4"
"19",,,"Energy Centers","1",,"Energy Centers or ""COMMUNICATION STYLE"" determine how we relate, connect and learn from our environment. They are responsible for how we commit information and experiences to memory. There are four centers: Intellectual, Moving, Emotional and Instinctual. Our pronounced center of energy largely determines how we initially connect with the moment. Everyone is different, and knowing this information can be vital in communicating and connecting effectively with the world in which we live.  The centers are listed below from most prominent to least prominent in you. They exemplify the doors to your house of self. The first door represents the front door. Opening this door is essential in initiating the process of accessing those that follow. When all are open, a memory is established. ","2024-06-26 00:00:00","2024-06-26 00:00:00",NULL
"20",,,"Energy Excellent","1",,"Your energy pool is extremely large and very impressive. You likely are very successful in any and all pursuits. Manifesting and realizing dreams is a natural talent for you because there is an abundance of life force available. This means when everyone else has run out of steam, you still keep going with little or no energy loss. Like being muscularly fit, your energy pool allows you to get more done without experiencing premature fatigue. Maintaining energy efficiency is a sign of self-mastery. Given this insight, it is vital that you always come from a place of integrity in all your pursuits. Make your gifts count and remain accountable.","2024-06-26 00:00:00","2024-06-26 00:00:00","Energy Pool - Energy Excellent.mp4"
"21",,,"Energy Fair","1",,"Your energy pool at this point in time is compromised. Often times unexpected life changes, fatigue, worry, toxic work environments or health issues will begin to tap into our energy as a means of survival. When your energy reaches a FAIR assessment, there is concern for your total health and well being. Staying in a FAIR state too long leaves you vulnerable to physical strain and mental exhaustion. Take time everyday to do something that you love. This could be quiet time, listening to music, going to the movies, spending time in nature, singing, journaling and personal pampering. It is vital that you incorporate one or more healthy activities into your daily routine so as to begin to restore your energy pool to a more natural state.","2024-06-26 00:00:00","2024-06-26 00:00:00","Energy Pool - Fair.mp4"
"22",,,"Energy Pool","1",,"Our Energy Pool represents how much physical energy you have to expend on a daily basis. Much like staying hydrated, we must guard its appropriation of use. Some activities, choices, people, places and things can rob us of vital energy and depending upon the nature of those things or choices, we may or may not be able to recoup it. In this lifetime, our goal is to maintain an average or better volume of energy. This makes life more manageable and keeps us from being vulnerable to toxic abuse. The need for fortifying our presentation can be met by living a more naturally suited life.","2024-06-26 00:00:00","2024-06-26 00:00:00",NULL
"23",,,"Features","1",,"Features or ""MOTIVATORS"" address what drives us, what must be fed and honored so that we can reach our destination successfully. We have 12 passengers in our vehicle of self all chattering at the same time but only some are licensed to drive. Knowing how to keep these legally authorized drivers in the front seat and motivated allows for efficient travel. These driving forces represent specific laws of nature that show up in all living things. These motivators express themselves as strengths and weaknesses. It is our personal responsibility to come from a place of strength. Strength transmits intelligence while weakness produces ignorance. Choosing opportunities that feed your strengths, your talents and your passion will bring you closer to states of intelligence. What motivates or drives you requires you choose those listed below in order of proficiency.","2024-06-26 00:00:00","2024-06-26 00:00:00",NULL
"24",,,"Footer","1",,"The results documented in your Performance Report address the uniqueness and perfection of YOU. We call this Report Your Operating Manual.

Your physicality, or physical traits, reveal your natural talents and capabilities which determine your innate potential. They reveal what drives you and how to fuel this drive; how your personal preferences impact your boundaries of tolerance for people and places; how you specifically connect with your environment, relate to others and download information and how your unique perception of life has an electromagnetic impact on all of your relationships.

Your Operating Manual identifies what is required for you to maintain a healthy state. Because the Ultimate Life Tool technology is so multifaceted and multidimensional, to maximize the value of your Operating Manual or if you have questions about your results, we invite you to contact the certified practitioner below for a personal consultation.

Your personal consultation will identify areas that need and require your focus and attention in order to reach your full potential on a daily basis.  It will also provide you with specific strategies to help you integrate and apply the information from your Operating Manual in every aspect of your life.

For services and certification contact your ULT assessment provider.

","2024-06-26 00:00:00","2024-06-26 00:00:00",NULL
"25","Gold","G","Gold","1","Alchemy","Your test results reveal that you have a Gold level of refinement. Since alchemy is the main player in relationships, if oneâ€™s alchemy is too high it can be quite intolerant of others. This is frequently helpful to know in selecting partners, jobs and places to live. The more Silver you have the more flexible and tolerant you are of those around you. Silvers are the easiest to get along with and can move in any environment. By virtue they have a wider compatibility range. Silvers can walk away from a messy room, are a little more resilient and make friends easily! Golds are a little more meticulous and inflexible. It would serve you to try leaving the bed unmade for a day or two or things laying about. This would afford your alchemy a chance to move towards Silver where more people live. Golds typically live very private lives, even those who need and want people around them. A subtle adjustment towards Silver allows you to reach a greater populous of people versus just a small segment of mankind. Golds can be extremely sensitive to smells and frequently feel uncomfortable in environments that are not in perfect alignment with their lifestyle preferences. Where they eat, what they eat, where they live and the kinds of creature comforts they select are usually of quality or mimic something of high quality quite well. Friends, family and invited guests often feel uneasy in a high Gold environment for fear of displacing something. Golds do not do well visiting under developed countries or witnessing poverty and pestilence. In brief, you are not a good candidate for the Peace Corps. Unfortunately, Golds get a bad rap because their need for quality and perfection is often perceived by others as a superiority complex. The term OCD has become very popular and people often treat it as if it were a disease when in many cases, it is simply a Gold state of being; the higher the Gold, the more meticulous one becomes. Alchemy or Refinement is often the reason we misjudge others.","2024-06-26 00:00:00","2024-06-26 00:00:00","Gold Alchemy.mp4"
"26","Gold","GS","Gold-Silver","1","Alchemy","Your test results revealed that you have a Gold/Silver level of refinement. Since alchemy is the main player in relationships, if oneâ€™s alchemy is too high it can be quite intolerant of others. This is frequently helpful to know in selecting partners, jobs and places to live. The more silver you have the easier it is to have tolerance for those around you. Silvers can move in any environment. By virtue they have an wider compatibility range. Silvers can walk away from a messy room, are a little more flexible and make friends easily! Golds are more meticulous and inflexible. It would serve you to try leaving the bed unmade for a day or two or things laying about. This would afford your alchemy a chance to move more towards your silver where more people live. Golds typically live very private lives, even those that need and want people around them. However, your Silver allows you to reach a greater populous of people versus just a small segment of mankind. Golds are very sensitive to smells and frequently feel uncomfortable in environments that are not in perfect alignment with their lifestyle preferences. Where they eat, what they eat, where they live and the kinds of creature comforts they select are usually of quality or mimic something of high quality quite well. Gold/Silvers can display some of these characteristics depending on the level of Gold influence in their alchemical make-up. You would not do well visiting under developed countries or witnessing poverty and pestilence. In brief, you are not a good candidate for the Peace Corps. Fortunately, the Silver in you will offset some of the obsessive tendencies that often accompany a Gold alchemy. It will also allow you to relax a little when it comes to participating in less refined environments. Camping versus hotels is really not an option and you have to have a structured tolerance for pets and children, meaning that certain boundaries and rules must be in place in order for them to co-exist with you. It is always wise to reach for the Silver rather than Gold when it comes to making friends and influencing people as this is the largest demographic that exists on the planet in civilized environments. Many opportunities to experience more of life will present themselves if you can do this. Alchemy or Refinement is often the reason we misjudge others.","2024-06-26 00:00:00","2024-06-26 00:00:00","Gold-Silver Alchemy.mp4"
"27","Non-existence","NE","Humility","1","Feature","HUMILITY, often referred to as Non-Existence, motivates you. It is the epitome of the selfless observer who can assess any situation without personal ego. Non-Existence does not mean that you are not present. It simply means that you have the ability to go into your own space at times and separate yourself from others. This peaceful nature is one of the qualities that is so attractive about you. It reveals the humility within that draws others to you. People with this disappearing talent are very easy to be around and make excellent friends, confidants and great listeners. At times others will exhaust your energy and you will find yourself going into your own space. The best fuel for Non-Existence is to take time alone to process your experiences and recharge your batteries. This is necessary for you as long as you recognize that you are simply refueling and not escaping. Fatigue and other challenges in life can force you to neglect important aspects of your life in an attempt to feed itself. Stay clear and rested and youâ€™ll stay intelligently diplomatic and reverent.","2024-06-26 00:00:00","2024-06-26 00:00:00","Humility.mp4"
"28","Destructive","DE","Initiates Change","1","Feature","INITIATING CHANGE motivates you. This natural talent of transforming is all about bringing about change. This feature contributes to mankind by tearing things down and reconstructing them. It initiates change and paves the way for new beginnings. It actually opens the door for new opportunities. It is a transformative process that is necessary for you and you must find environments that allow you to experience this process in order to move forward. Like tearing down a house to build a new improved home, there is a sense of betterment for the whole, especially in business. You must pay attention to your intention and the manner of integrity behind your pursuits and actions. To keep in check, look for opportunities to remodel, restructure or refurbish. Should you find yourself deprived of opportunity or lacking balance, the tendency to quiet this feature versus feed it appropriately may elicit toxic behavior. Toxicity in this feature often results in addiction and/or violent outbreaks.","2024-06-26 00:00:00","2024-06-26 00:00:00","Initiating Change.mp4"
"29","Instinctual","INS","Instinctually","1","Energy Center","This Center is happiest sensing life. The Instinctual Center likes to indulge in anything sensorial. It wants it all because it is aware of it all. Thrill seekers are often instinctually centered. You are drawn to things based on whether or not they look good, taste good, smell good, sound good and feel good. For the most part your energy center responds easily to exercise. If you feel compromised in terms of fitness, know that your body will display results sooner rather than later. Instinctually centered people may get a bad rap from time to time as being judgmental because of their sensitivity. It is difficult for them to hide the manner in which they naturally deduce the moment.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Instinctual Energy Center.mp4"
"30","Intellectual","INT","Intellectually","1","Energy Center","This Center is happiest entertaining new concepts. These individuals like to curl up with a good book, go to the library and engage in heady discussions about the meaning of life. Intellectually centered people love to think rather than do. They are sometimes more pre-occupied with the Workings of Something vs The Something itself. Your Intellectual Center allows you the ability to think on your feet and to question the fabric of life as it intersects with yours. Things need to make sense to you. You put much thought into projects or ideas. The result of your need to know can get in your way of finding the answer. In a relationship or when communicating with others, if you are not intellectually challenged you will soon find yourself bored and look for mental stimulation elsewhere. It is important to acknowledge that others may not open up to the moment in the same way that you do.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Intellectual Energy Center.mp4"
"31",,,"Introduction","1",,"The ULT Summary Report serves to identify those aspects about you that define and direct your best performance qualities. Since your physical being is respectively the assigned vehicle transporting you through this lifetime, it's often helpful to know what kind of vehicle you are. The Greeks have been insisting we ""Know Thyself"" for centuries. This simple request answered can facilitate success in all aspects of life including one's performance in conducting business and creating healthy relationships at work and in life. The ULT technology is a patented instrument registered and branded as The Ultimate Life Tool. The methodology serving as the foundation for its development is referred to as The Knowledge of Y.O.U. (your own understanding). This cumulative insight is older than the language of man and is founded in physical law and scientific objective understanding. The ULT assessment tool queries and quantifies information and identifies results in a manner that can be easily understood. Your personal ULT Performance Report introduces you to Y.O.U. and provides you with your own operating manual. These operating guidelines support you in making conscious choices in selecting opportunities that will naturally advance you in this lifetime. When you use your natural talents versus learned talents you gain energy. Maximizing your fuel efficiency allows you to access your true self and enjoy life in the process.

This advanced human assessment curriculum and technology are products of YCG, LLC dba The YOU Institute. The curriculum has been approved for continuing education by The California State Board of Behavioral Sciences, The Board of Registered Nursing and the International Coach Federation. The ULT Performance Report is helpful to employers and various agencies seeking compatibility in people placement as well as professionals trained in relationship management and psychotherapy. Your ULT Performance Report adds intrinsic value in fortifying relationships, seeking a career, preparing for marriage, selecting a roommate and in better understanding yourself and others.

The ULT Summary Report addresses the following:

        Your unique natural expression of self

        Talents that motivate and prompt you to participate in life

        What you can tolerate in terms of people, places and things

        How you connect, learn and commit experiences to memory

        Your perception of life that defines your physical reality

        How much energy you currently have available to succeed
","2024-06-26 00:00:00","2024-06-26 00:00:00",NULL
"32","Greed","GRE","Monetary Discernment","1","Feature","MONETARY DISCERNMENT is a licensed motivating force for you. This means you are very deliberate in how you spend your money. This feature means that financial security, meeting your needs, and having enough is very important to you. Issues around money occupy your thoughts frequently throughout the day. Because this is what drives you, creating and cultivating great wealth is easily accessible to you. However, in states of fatigue, addiction or illness you may overspend and exceed your means to the point of personal destitution. Make sure you exercise your natural ability to initiate abundance. Not everyone comes with a Natural understanding of prosperity. You do. Use it. This means that you understand that prosperity manifests as a result of keeping money flowing in and out of your life. Be mindful of the FLOW of money and all that support its significance. When you give, you receive. Any pause to hoard or conserve will create congestion and your ability to cultivate GREAT wealth will cease.","2024-06-26 00:00:00","2024-06-26 00:00:00","Monetary Discernment.mp4"
"33","Moving","MOV","Moving","1","Energy Center","This Center is happiest when it is physically moving. This can most easily be identified in people that can't sit still, are fidgeting, stretching or feeling the need to constantly make physical adjustments. Athletes, dancers and very busy individuals are often moving centered. Your Moving Center helps you to make an initial connection to people, places or things. You will comprehend and assimilate information best while moving. It's not unusual for a moving centered person to be able to read in the car or while on the treadmill. Remember this when you are experiencing a creative block and try an activity that allows you to move. You may be surprised at your inspirational results.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Moving Energy Center.mp4"
"34","Naivete","NAI","Optimistic","1","Feature","OPTIMISM motivates you and is responsible for creating the fun in your life. This is a very positive wonderful feature. You are extremely open and trusting which creates an availability factor about you that attracts others to you. You have a vast perspective on life and create from a fun loving intent. This effervescent child-like quality is very appealing. You are open to new experiences and adapt easily to change. Your nature has fragility about it in that your energy can easily be exhausted if circumstances do not provide fun, joy or laughter. These life sustaining elements are necessary for you to move forward, enabling you to succeed rather than fail. With this as your motivating force you typically see life through rose colored glasses focusing on the wondrous. This naÃ¯ve perception often times can be received as vulnerable, gullible and lacking credibility. It is this same light-hearted innocence that draws others to you like a moth to a flame. You like to have fun and make fun and do it with a natural radiance! When you are coming from a place of clarity this behavior is very becoming however, when you are experiencing a loss of energy or your optimism is squashed the tendency to react in a somewhat immature manner will prevail. It is vital for you to eat right, get plenty of rest and exercise.","2024-06-26 00:00:00","2024-06-26 00:00:00","Optimism.mp4"
"35","Mercury","MER","Perceptive","2","Style","This part of you processes information at the speed of light allowing you to think fast and move quickly. You have a laser focus when it comes to identifying what is not working. This is the mark of a surgical strategist. You definitely choose what information needs to be revealed for the completion of your agenda and you are very good at keeping secrets. This part of you can be somewhat cunning, clever and even sneaky at times. You frequently enlist this characteristic when trying to get things done behind the scenes without too much unnecessary energy expense on the part of you or others. This is an asset in getting things done efficiently. You enjoy engaging in quick witted conversation that shifts one's attention from one thing to another without taking a topic to any great level. You actually enjoy exploring and investigating. This curious nature creates a mysterious quality about you that continues to pique the interest of others. You can size up situations quickly, providing just enough information to get the job done.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Perceptive Trait.mp4"
